DATE,OVXCLS
2017-07-17,30.61
2017-07-18,29.96
2017-07-19,29.55
2017-07-20,29.25
2017-07-21,29.25
2017-07-24,29.24
2017-07-25,29.18
2017-07-26,29.44
2017-07-27,29.81
2017-07-28,29.86
2017-07-31,30.84
2017-08-01,30.54
2017-08-02,30.43
2017-08-03,29.65
2017-08-04,28.53
2017-08-07,28.73
2017-08-08,29.44
2017-08-09,29.06
2017-08-10,29.27
2017-08-11,28.41
2017-08-14,29.16
2017-08-15,29.31
2017-08-16,29.18
2017-08-17,29.31
2017-08-18,27.53
2017-08-21,28.77
2017-08-22,27.97
2017-08-23,27.80
2017-08-24,28.37
2017-08-25,28.88
2017-08-28,30.39
2017-08-29,30.49
2017-08-30,29.78
2017-08-31,29.10
2017-09-01,28.97
2017-09-04,.
2017-09-05,29.58
2017-09-06,30.07
2017-09-07,29.73
2017-09-08,29.49
2017-09-11,27.73
2017-09-12,27.59
2017-09-13,26.62
2017-09-14,26.09
2017-09-15,26.65
2017-09-18,27.53
2017-09-19,25.76
2017-09-20,26.99
2017-09-21,26.30
2017-09-22,26.39
2017-09-25,26.93
2017-09-26,27.8
2017-09-27,27.29
2017-09-28,27.18
2017-09-29,26.83
2017-10-02,27.72
2017-10-03,27.95
2017-10-04,27.04
2017-10-05,26.45
2017-10-06,27.59
2017-10-09,27.32
2017-10-10,26.54
2017-10-11,26.43
2017-10-12,25.85
2017-10-13,25.73
2017-10-16,26.32
2017-10-17,25.87
2017-10-18,26.41
2017-10-19,26.3
2017-10-20,24.51
2017-10-23,25.08
2017-10-24,25.6
2017-10-25,25.44
2017-10-26,25.22
2017-10-27,25.18
2017-10-30,25.33
2017-10-31,25.31
2017-11-01,25.65
2017-11-02,25.65
2017-11-03,24.82
2017-11-06,26.85
2017-11-07,28.75
2017-11-08,27.99
2017-11-09,28.37
2017-11-10,29.4
2017-11-13,30.22
2017-11-14,30.08
2017-11-15,29.84
2017-11-16,28.42
2017-11-17,26.96
2017-11-20,27.18
2017-11-21,26.64
2017-11-22,26.83
2017-11-23,.
2017-11-24,26.88
2017-11-27,28.36
2017-11-28,28.13
2017-11-29,28.02
2017-11-30,25.95
2017-12-01,23.73
2017-12-04,23.68
2017-12-05,23.13
2017-12-06,23.13
2017-12-07,23.13
2017-12-08,23.85
2017-12-11,22.96
2017-12-12,22.84
2017-12-13,23.49
2017-12-14,23.0
2017-12-15,21.25
2017-12-18,18.43
2017-12-19,18.88
2017-12-20,19.46
2017-12-21,17.86
2017-12-22,19.26
2017-12-25,.
2017-12-26,20.99
2017-12-27,20.64
2017-12-28,20.71
2017-12-29,21.32
2018-01-01,.
2018-01-02,22.73
2018-01-03,22.75
2018-01-04,22.12
2018-01-05,22.3
2018-01-08,21.9
2018-01-09,22.96
2018-01-10,23.52
2018-01-11,23.52
2018-01-12,23.52
2018-01-15,.
2018-01-16,26.41
2018-01-17,24.78
2018-01-18,24.38
2018-01-19,21.2
2018-01-22,22.03
2018-01-23,22.34
2018-01-24,23.93
2018-01-25,22.35
2018-01-26,22.29
2018-01-29,22.73
2018-01-30,22.9
2018-01-31,22.23
2018-02-01,22.24
2018-02-02,23.8
2018-02-05,25.91
2018-02-06,26.59
2018-02-07,26.79
2018-02-08,29.5
2018-02-09,29.85
2018-02-12,29.42
2018-02-13,30.39
2018-02-14,27.73
2018-02-15,27.57
2018-02-16,26.97
2018-02-19,.
2018-02-20,27.58
2018-02-21,26.93
2018-02-22,24.98
2018-02-23,24.37
2018-02-26,24.36
2018-02-27,25.29
2018-02-28,26.92
2018-03-01,26.98
2018-03-02,26.15
2018-03-05,26.3
2018-03-06,25.55
2018-03-07,26.94
2018-03-08,26.16
2018-03-09,26.23
2018-03-12,24.02
2018-03-13,25.5
2018-03-14,25.21
2018-03-15,25.07
2018-03-16,24.53
2018-03-19,25.28
2018-03-20,25.3
2018-03-21,25.95
2018-03-22,26.47
2018-03-23,27.56
2018-03-26,27.71
2018-03-27,27.38
2018-03-28,26.67
2018-03-29,25.07
2018-03-30,.
2018-04-02,27.53
2018-04-03,26.89
2018-04-04,26.17
2018-04-05,24.38
2018-04-06,24.99
2018-04-09,25.64
2018-04-10,28.05
2018-04-11,29.42
2018-04-12,28.73
2018-04-13,28.52
2018-04-16,28.84
2018-04-17,27.88
2018-04-18,29.42
2018-04-19,29.36
2018-04-20,28.99
2018-04-23,28.97
2018-04-24,29.15
2018-04-25,28.16
2018-04-26,26.86
2018-04-27,25.59
2018-04-30,28.28
2018-05-01,28.07
2018-05-02,27.32
2018-05-03,26.69
2018-05-04,26.17
2018-05-07,28.86
2018-05-08,26.76
2018-05-09,26.71
2018-05-10,26.61
2018-05-11,25.74
2018-05-14,25.93
2018-05-15,26.61
2018-05-16,25.73
2018-05-17,25.11
2018-05-18,25.23
2018-05-21,25.79
2018-05-22,25.89
2018-05-23,26.04
2018-05-24,25.37
2018-05-25,27.76
2018-05-28,.
2018-05-29,29.04
2018-05-30,27.9
2018-05-31,27.61
2018-06-01,28.65
2018-06-04,29.49
2018-06-05,29.3
2018-06-06,29.14
2018-06-07,28.05
2018-06-08,27.59
2018-06-11,26.86
2018-06-12,26.58
2018-06-13,27.08
2018-06-14,26.69
2018-06-15,27.64
2018-06-18,27.58
2018-06-19,28.01
2018-06-20,28.06
2018-06-21,27.78
2018-06-22,25.52
2018-06-25,26.1
2018-06-26,25.67
2018-06-27,27.69
2018-06-28,27.35
2018-06-29,27.18
2018-07-02,28.65
2018-07-03,28.58
2018-07-04,.
2018-07-05,28.77
2018-07-06,28.13
2018-07-09,28.12
2018-07-10,26.9
2018-07-11,28.56
2018-07-12,27.81
2018-07-13,27.54
2018-07-16,29.01
2018-07-17,28.0
2018-07-18,27.24
2018-07-19,26.84
2018-07-20,26.01
2018-07-23,26.15
2018-07-24,25.65
2018-07-25,25.34
2018-07-26,24.88
2018-07-27,24.97
2018-07-30,25.83
2018-07-31,26.52
2018-08-01,26.45
2018-08-02,25.73
2018-08-03,25.61
2018-08-06,25.42
2018-08-07,25.22
2018-08-08,26.41
2018-08-09,25.4
2018-08-10,25.45
2018-08-13,25.31
2018-08-14,26.18
2018-08-15,27.26
2018-08-16,26.33
2018-08-17,25.71
2018-08-20,25.26
2018-08-21,25.08
2018-08-22,24.72
2018-08-23,24.35
2018-08-24,23.31
2018-08-27,23.68
2018-08-28,24.5
2018-08-29,24.32
2018-08-30,24.89
2018-08-31,25.02
2018-09-03,.
2018-09-04,26.7
2018-09-05,26.62
2018-09-06,26.16
2018-09-07,26.07
2018-09-10,26.13
2018-09-11,27.14
2018-09-12,26.94
2018-09-13,26.7
2018-09-14,26.4
2018-09-17,26.49
2018-09-18,26.8
2018-09-19,26.35
2018-09-20,26.07
